Type of Incident,Year of Incident
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
"THEFT OF PROP > OR EQUAL $750 <$2,500 (NOT SHOPLIFT) PC31.03(e3)",2023
PUBLIC INTOXICATION,2020
UNEXPLAINED DEATH (NO OFFENSE),2021
BURGLARY OF BUILDING - FORCED ENTRY,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
"CRIM MISCHIEF > OR EQUAL $2,500 < $30K",2018
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2023
BMV,2020
BMV,2022
FRAUD USE/POSS IDENTIFYING INFO # ITEMS 5<10,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
ASSAULT -BODILY INJURY ONLY,2022
BMV,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
BURGLARY OF BUILDING - FORCED ENTRY,2018
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2015
CRIMINAL TRESPASS WARNING,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
MANSLAUGHTER (TRAFFIC FATALITY),2022
FOUND PROPERTY (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
BMV,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
"THEFT OF PROP (AUTO ACC) > OR EQUAL $2,500 <$30K (NOT EMP) PC31.03(e4A)",2022
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,2018
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
CRIMINAL TRESPASS,2021
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,2022
BMV,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
BMV,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
ABANDONED PROPERTY (NO OFFENSE),2019
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
THEFT OF SERVICE < $100,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
UNLAWFUL CARRYING WEAPON,2023
BMV,2022
CRIMINAL TRESPASS WARNING,2023
UNLAWFUL CARRYING WEAPON,2022
UNLAWFUL CARRYING WEAPON,2023
BMV,2021
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
BURGLARY - PRELIMINARY INVESTIGATION,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
THEFT OF SERVICE < $100,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
FOUND PROPERTY (NO OFFENSE),2020
ACCIDENT INV DAMAGE TO VEHICLE <$200,2022
UNEXPLAINED DEATH (NO OFFENSE),2022
LOST PROPERTY (NO OFFENSE),2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
POSS CONT SUB PEN GRP 1 > OR EQUAL 1G<4G,2022
"THEFT OF PROP > OR EQUAL $750 <$2,500 (NOT SHOPLIFT) PC31.03(e3)",2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2018
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
FOUND PROPERTY (NO OFFENSE),2022
RECOVERED OUT OF TOWN STOLEN PROPERTY (NO OFFENSE),2021
"THEFT OF PROP (AUTO ACC) > OR EQUAL $750 <$2,500 (NOT EMP) PC31.03 (e3)",2022
BMV,2019
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
BMV,2016
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2018
POSS CONT SUB PEN GRP 1 <1G,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
POSS CONT SUB PEN GRP 1 <1G,2022
NATURAL DEATH (NO OFFENSE),2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
POSS CONT SUB PEN GRP 1 <1G,2020
DISCHARGE FIREARM IN CERTAIN MUNICIPALITIES,2022
UNEXPLAINED DEATH (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
CRIMINAL TRESPASS,2018
BURGLARY OF HABITATION - FORCED ENTRY,2018
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
"THEFT OF PROP (AUTO ACC) > OR EQUAL $2,500 <$30K (NOT EMP) PC31.03(e4A)",2022
HARASSMENT -PRELIMINARY INVESTIGATION,2022
HARASSMENT-REPEATED ELECTRONIC COMMUNICATION,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
FRAUD USE/POSS IDENTIFYING INFO # ITEMS 10<50,2022
OTHER OFFENSE - MISDEMEANOR,2020
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
ABANDONED PROPERTY (NO OFFENSE),2019
ASSAULT -VERBAL THREAT,2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
"THEFT OF SERVICE > OR EQUAL $2,500 <$30K PC31.04(e4)",2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2018
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
DEADLY CONDUCT-PRELIMINARY INVESTIGATION,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
"THEFT OF PROP (AUTO ACC) > OR EQUAL $750 <$2,500 (NOT EMP) PC31.03 (e3)",2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
POSSESSION OF STOLEN PROPERTY,2021
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
"THEFT OF PROP (AUTO ACC) > OR EQUAL $750 <$2,500 (NOT EMP) PC31.03 (e3)",2022
BURGLARY OF HABITATION -NO FORCED ENTRY,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
BURGLARY OF BUILDING - FORCED ENTRY,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
POSS CONT SUB PEN GRP 1 > OR EQUAL 4G<200G,2020
ASSAULT (AGG) -DEADLY WEAPON,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2023
ASSAULT -VERBAL THREAT,2020
UNLAWFUL CARRY HANDGUN LIC HOLDER,2022
THEFT FROM PERSON-PURSE SNATC,2021
FOUND PROPERTY (NO OFFENSE),2022
BURGLARY OF BUILDING - FORCED ENTRY,2022
THEFT OF PROP > OR EQUAL $100 <$750 (EMPLOYEE) PC31.03(e2A),2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
ABANDONED PROPERTY (NO OFFENSE),2022
OPEN BUILDING (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
DWI,2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
BMV,2019
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2019
FRAUD USE/POSS IDENTIFYING INFO # ITEMS < 5,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNLAWFUL POSS FIREARM BY FELON,2019
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
BURGLARY OF BUILDING - FORCED ENTRY,2022
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,2018
SEIZED PROPERTY (NO OFFENSE),2020
UNLAWFUL POSS FIREARM BY FELON,2019
MAN DEL CONT SUB PEN GRP 1 <1G,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
CRIMINAL TRESPASS AFFIDAVIT,2020
"THEFT OF PROP > OR EQUAL $750 <$2,500 (NOT SHOPLIFT) PC31.03(e3)",2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
BURGLARY OF BUILDING - FORCED ENTRY,2022
CRIMINAL TRESPASS WARNING,2023
THEFT OF PROP <$100 -SHOPLIFTING - (NOT BY EMPLOYEE),2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
FORGERY FINANCIAL INSTRUMENT,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
POSS MARIJUANA <2OZ,2020
THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,2022
INJURED PERSON - AT HOME (OTHER THAN FIREARM) (NO OFFENSE),2020
BURGLARY OF BUILDING - FORCED ENTRY,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2023
CRIMINAL TRESPASS WARNING,2022
"THEFT OF PROP > OR EQUAL $750 <$2,500 (NOT SHOPLIFT) PC31.03(e3)",2022
"CRIM MISCHIEF >OR EQUAL $750 < $2,500",2023
FOUND PROPERTY (NO OFFENSE),2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
TRAFFIC FATALITY- NOT DWI- UNINTENTIONAL (NO OFFENSE),2022
RECOVERED OUT OF TOWN STOLEN PROPERTY (NO OFFENSE),2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNLAWFUL CARRYING WEAPON,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2018
EVADING ARREST DETENTION W/VEHICLE PC38.04(b)(2)(A),2020
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
ASSAULT - PRELIMINARY INVESTIGATION *NON FAMILY VIOLENCE,2022
TRAF VIO -RACING ON HIGHWAY,2022
PUBLIC INTOXICATION,2022
ABANDONED PROPERTY (NO OFFENSE),2022
ABANDONED PROPERTY (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2018
"CRIM MISCHIEF >OR EQUAL $750 < $2,500",2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
BURGLARY OF BUILDING - FORCED ENTRY,2022
BMV,2022
ROBBERY OF INDIVIDUAL (AGG),2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
POSSESSION OF DRUG PARAPHERNALIA,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2018
FAIL TO ID -REFUSES TO PROVIDE INFO,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNLAWFUL CARRYING WEAPON,2023
FOUND PROPERTY (NO OFFENSE),2020
POSS MARIJUANA >4OZ< OR EQUAL 5LBS,2022
HARASSMENT,2016
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNLAWFUL CARRYING WEAPON,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2022
CRIMINAL TRESPASS WARNING,2021
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2022
"THEFT OF PROP > OR EQUAL $2,500 <$30K (NOT SHOPLIFT) PC31.03(e4A)",2023
TRAF VIO -DUTY ON STRIKE FIX/HWY LANDSCAPE > OR EQUAL $200 TC 550.025(b)2,2022
"THEFT OF PROP > OR EQUAL $750 <$2,500 (NOT SHOPLIFT) PC31.03(e3)",2023
ROBBERY OF INDIVIDUAL (AGG),2023
THEFT OF PROP > OR EQUAL $100 <$750 (EMPLOYEE) PC31.03(e2A),2023
UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,2022
UNEXPLAINED DEATH (NO OFFENSE),2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
FOUND PROPERTY (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
FOUND PROPERTY (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
PUBLIC INTOXICATION,2016
ASSAULT -BODILY INJURY ONLY,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2018
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2019
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
POSS CONT SUB PEN GRP 1 <1G,2022
BMV,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
ABANDONED PROPERTY (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2021
THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),2022
MAN DEL CONT SUB PEN GRP 2 or 2-A > OR EQUAL 4G<400G,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
CRIMINAL TRESPASS,2022
PUBLIC INTOXICATION,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2019
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
INJURED PERSON - AT HOME (OTHER THAN FIREARM) (NO OFFENSE),2014
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2022
CRIMINAL TRESPASS WARNING,2022
EVADING ARREST DETENTION,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
INTERFERE W/ CHILD CUSTODY,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2023
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,2023
HARASSMENT,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
ABANDONED PROPERTY (NO OFFENSE),2019
RECKLESS DAMAGE,2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
BMV,2021
INJURED PERSON - AT HOME (OTHER THAN FIREARM) (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
ABANDONED PROPERTY (NO OFFENSE),2022
BMV,2023
CRIMINAL TRESPASS WARNING,2022
DISORDERLY CONDUCT,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
"THEFT OF PROP > OR EQUAL $750 <$2,500 (NOT SHOPLIFT) PC31.03(e3)",2023
CRIMINAL TRESPASS WARNING,2022
CRIM MISCHIEF > OR EQUAL $100 < $750,2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
BURGLARY OF BUILDING - FORCED ENTRY,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
CRIM MISCHIEF <$100,2023
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2022
POSS MARIJUANA <2OZ,2022
"THEFT OF PROP (AUTO ACC) > OR EQUAL $750 <$2,500 (NOT EMP) PC31.03 (e3)",2022
BMV,2023
THEFT OF FIREARM,2023
PUBLIC INTOXICATION,2022
ROBBERY OF INDIVIDUAL (AGG),2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
PUBLIC INTOXICATION,2020
THEFT OF PROP > OR EQUAL $30K <$150K (NOT SHOPLIFT) PC31.03(e5),2023
ROBBERY OF INDIVIDUAL,2022
DISORDERLY CONDUCT DISCHARGE/DISPLAY FIREARM,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
ASSAULT (AGG) -DEADLY WEAPON,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
FOUND PROPERTY (NO OFFENSE),2019
UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,2021
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
BMV,2022
THEFT OF SERVICE < $100,2022
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
POSS CONT SUB PEN GRP 2 > OR EQUAL  1G<4G,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2020
THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),2022
HARASSMENT,2019
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,2022
ABANDONED PROPERTY (NO OFFENSE),2022
THEFT OF PROP > OR EQUAL $30K <$150K (NOT SHOPLIFT) PC31.03(e5),2022
POSS MARIJUANA >2OZ< OR EQUAL 4OZ,2022
BMV,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
BURGLARY OF HABITATION - FORCED ENTRY,2022
POSS CONT SUB PEN GRP 1 <1G,2022
CRIMINAL TRESPASS,2021
ASSAULT -BODILY INJURY ONLY,2020
THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),2023
"CRIM MISCHIEF >OR EQUAL $750 < $2,500",2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
OPEN BUILDING (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
BURGLARY OF BUILDING - FORCED ENTRY,2022
BURGLARY OF BUILDING - FORCED ENTRY,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2016
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
"THEFT OF PROP (AUTO ACC) > OR EQUAL $2,500 <$30K (NOT EMP) PC31.03(e4A)",2022
THEFT OF PROP <$100 - OTHER THAN SHOPLIFT,2022
THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),2022
UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,2020
BMV,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
BMV,2022
ASSAULT -VERBAL THREAT,2022
UNAUTHORIZED USE OF MOTOR VEH - (ATT) TRUCK OR BUS,2019
LOST PROPERTY (NO OFFENSE),2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
CRIMINAL TRESPASS WARNING,2022
UNLAWFUL CARRYING WEAPON,2023
CRIMINAL TRESPASS WARNING,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
FOUND PROPERTY (NO OFFENSE),2022
BMV,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
FOUND PROPERTY (NO OFFENSE),2022
THEFT OF SERVICE < $100,2022
TRAFFIC VIOLATION - NON HAZARDOUS,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
TRAF VIO -DUTY ON STRIKE UNATTENDED VEH > OR EQUAL $200,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
"THEFT OF PROP (AUTO ACC) > OR EQUAL $750 <$2,500 (NOT EMP) PC31.03 (e3)",2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
CRIM MISCHIEF > OR EQUAL $100 < $750,2023
UNLAWFUL CARRYING WEAPON,2019
TRAF VIO -DUTY ON STRIKE UNATTENDED VEH > OR EQUAL $200,2023
FOUND PROPERTY (NO OFFENSE),2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
BMV,2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
PUBLIC INTOXICATION,2016
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2015
UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
PUBLIC INTOXICATION,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
ASSAULT -BODILY INJURY ONLY,2023
CRIMINAL TRESPASS AFFIDAVIT,2022
"CRIM MISCHIEF >OR EQUAL $750 < $2,500",2023
PUBLIC INTOXICATION,2022
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2019
ASSAULT (AGG) -DEADLY WEAPON,2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
SEIZED PROPERTY (NO OFFENSE),2020
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2018
PUBLIC INTOXICATION,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2019
BURGLARY OF BUILDING - FORCED ENTRY,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
THEFT FROM BUILDING> OR EQUAL $100<$750 (NOT SHOPLIFT),2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2023
POSSESSION OF DRUG PARAPHERNALIA,2022
BMV,2022
ASSAULT -ELD OR DISABLED VIC -BODILY INJURY ONLY,2022
MAN DEL CONT SUB PEN GRP 3/4 <28G,2020
TRAF VIO -DUTY ON STRIKE FIX/HWY LANDSCAPE > OR EQUAL $200 TC 550.025(b)2,2022
BURGLARY OF HABITATION -NO FORCED ENTRY,2023
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2016
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
FOUND PROPERTY (NO OFFENSE),2016
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2016
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2022
RECKLESS DAMAGE,2022
BURGLARY OF HABITATION -NO FORCED ENTRY,2014
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2021
POSS CONT SUB PEN GRP 3 < 28G,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2020
RECOVERED OUT OF TOWN STOLEN VEHICLE (NO OFFENSE),2023
FRAUD USE/POSS IDENTIFYING INFO # ITEMS < 5,2022
TRAFFIC VIOLATION - NON HAZARDOUS,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2021
FRAUD USE/POSS IDENTIFYING INFO-PRELIMINARY INVESTIGATION,2023
FOUND PROPERTY (NO OFFENSE),2019
THEFT OF SERVICE < $100,2022
THEFT OF PROP (AUTO ACC) > OR EQUAL $100 <$750 (NOT EMP)PC31.03(e2A),2022
ABANDONED PROPERTY (NO OFFENSE),2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2023
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2022
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
EVADING ARREST DETENTION,2022
"THEFT OF PROP (AUTO ACC) > OR EQUAL $750 <$2,500 (NOT EMP) PC31.03 (e3)",2021
UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,2022
UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,2014
UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,2021
